PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
1291-2004*1,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,"Clavey's Nursery, Inc.",,,,Childrens Garden,Prairie,I-52,65-70,
272-93*1,Malus flexilis,Crabapple,,g,The Morton Arboretum,,,,Malus,east section,E-75,13-03,
419-85*1,Malus spectabilis 'Plena',Double-flowered Chinese Flowering Crabapple,,g,The Morton Arboretum,,,,Malus,east section,E-76,14-93,
52-84*2,Malus 'Profusion',Profusion Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Z-29,25-77,
197-94*10,Malus floribunda,Japanese Flowering Crabapple,,g,Klehm Nursery,,,,Thornhill Drive,north side,PP-31,06-67,
118-2018*2,Malus 'JFS KW214MX',Crabapple,IVORY SPEAR,g,J. Frank Schmidt & Son Co.,,,,Malus,east section,C-70,53-95,
313-2003*5,Malus 'David',David Crabapple,,g,The Morton Arboretum,,,,Malus,west section,H-70,64-91,
53-84*1,Malus 'Red Jade',Red Jade Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Y-31,82-22,
1097-2004*1,Malus 'Dream Pink',Dream Pink Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,P-42,33-81,
79-90*1,Malus zumi 'Wooster',Wooster Zumi Crabapple,,g,Klehm Nursery,,,,Malus,west section,E-69,27-66,
406-59*1,Malus pumila,Common Apple,,g,,,,,Malus,west section,AZ-68,45-30,
549-2010*1,Malus orientalis,Caucasian Crabapple,,w,Chicago Botanic Garden (Botanic Garden of the Chicago Horticultural Society,Georgia,,"Georgia, Kvemo Kartli, near Tblisi, Kojori, Tsqneti",Malus,east section,D-76,61-67,
198-2017*1,Malus 'Red Jade',Red Jade Crabapple,,g,Johnson's Nursery,,,,Gateway to Tree Science,,F-100,12-91,
137-64*1,Malus floribunda,Japanese Flowering Crabapple,,g,The Morton Arboretum,,,,Malus,west section,AZ-68,70-80,
1291-2004*5,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,"Clavey's Nursery, Inc.",,,,Childrens Garden,Prairie,I-52,93-75,
276-93*1,Malus spontanea,Hall's Crabapple,,z,The Morton Arboretum,Japan,"Wilson, EH","Japan, on Mount Kirishima, Kyushu",Malus,west section,C-71,99-50,
72-2000*2,Malus 'Amaszam',Crabapple,AMERICAN MASTERPIECE,g,"Bailey Nurseries, Inc.",,,,West Malus,,Y-30,24-59,
103-2003*2,Malus 'David',David Crabapple,,g,The Morton Arboretum,,,,West Malus,,Z-29,14-19,
96-90*1,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-72,60-30,
1184-56*1,Malus purpurea,Purple Crabapple,,g,The Morton Arboretum,,,,Malus,east section,A-74,90-80,
80-92*1,Malus,Apple,,g,The Morton Arboretum Research Program,,,,Entrance Drive,,P-41,29-57,
420-2004*2,Malus 'May's Delight',May's Delight Crabapple,,g,"Bailey Nurseries, Inc.",,,,Malus,west section,H-70,00-10,
47-2011*3,Malus 'Liberty',Liberty Apple,,g,J.W.Jung Seed Company,,,,Childrens Garden,Windmill Garden,I-50,65-34,
367-88*1,Malus sieboldii,Toringo Crabapple,,w,Holden Arboretum,Republic of Korea,,"Republic of Korea, North Jeolla, at Puan Gun, Sannae Myon, Tochong-ri, Mohang",Malus,east section,C-76,01-18,
314-2003*2,Malus halliana,Hall's Crabapple,,z,The Morton Arboretum,China (PRC),?,"China (PRC), Sichuan, on Emei, Leshan, Qingchengshan, and Jinfoshan mountains and from Jiuzhaigou area",Malus,east section,D-77,13-81,
49-93*3,Malus 'Purple Prince',Purple Prince Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,west section,I-70,52-27,
195-2017*1,Malus 'Prairie Maid',Prairie Maid Crabapple,,g,Johnson's Nursery,,,,Malus,,E-68,90-08,
49-84*2,Malus floribunda,Japanese Flowering Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Y-31,04-17,
58-84*1,Malus 'Snowdrift',Snowdrift Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Y-29,47-80,
114-85*1,Malus floribunda,Japanese Flowering Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Y-30,02-95,
147-64*1,Malus robusta,Cherry Crabapple,,g,The Morton Arboretum,,,,Malus,east section,D-79,20-55,
32-2002*1,Malus spontanea,Hall's Crabapple,,g,"National Institute of Fruit Tree Science Ministry of Agriculture, Forestry",,,,Malus,east section,D-73,54-37,
104-90*3,Malus 'Velvetcole',Crabapple,VELVET PILLAR,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-73,50-56,
53-84*2,Malus 'Red Jade',Red Jade Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Y-31,86-03,
56-86*7,Malus 'Adams',Adams Crabapple,,g,King Nursery,,,,Meadow Lake,east side,M-55,89-18,
199-2017*1,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,Johnson's Nursery,,,,Malus,,F-67,23-89,
414-85*1,Malus dawsoniana,Dawson's Crabapple,,g,The Morton Arboretum,,,,Malus,east section,C-79,87-09,
280-93*1,Malus sikkimensis,Sikkim Crabapple,,g,The Morton Arboretum,China (PRC),"Rock, JF","China (PRC), western section",Central & Western Asia,,BB-71,97-06,
52-83*3,Malus 'Professor Sprenger',Professor Sprenger Crabapple,,g,The Morton Arboretum,,,,Entrance Drive,,P-41,43-63,
71-90*1,Malus 'Maria',Maria Crabapple,,g,Klehm Nursery,,,,Malus,east section,G-73,85-91,
104-89*3,Malus 'Hyslop',Hyslop Crabapple,,g,Hilltop Orchards and Nurseries,,,,Malus,east section,C-83,44-71,
814-2004*5,Malus 'Adams',Adams Crabapple,,g,"South Branch Nurseries, Inc.",,,,Visitor Center Parking,northwest median,S-48,86-16,
49-93*2,Malus 'Purple Prince',Purple Prince Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,west section,I-69,74-93,
172-2017*2,Malus pumila 'Freedom',Freedom Common Apple,,g,McKay Nursery Co.,,,,Gateway to Tree Science,,D-104,55-61,
590-2005*2,Malus 'Prairifire',Prairifire Crabapple,,g,Mariani Landscape/Design Build Maintenance,,,,Childrens Garden,The Grotto,H-54,96-56,
668-80*4,Malus floribunda,Japanese Flowering Crabapple,,g,Matt Tures Sons Nursery,,,,Hedge Garden,center section,I-46,44-25,
90-94*6,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AY-48,82-16,
142-2006*1,Malus 'JFS-KW5',Crabapple,ROYAL RAINDROPS,g,"P.P. & O. Nursery, LLC",,,,Malus,east section,I-74,60-40,
47-84*1,Malus 'Ralph Shay',Ralph Shay Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Z-30,62-85,
95-90*1,Malus floribunda,Japanese Flowering Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-73,70-93,
284-97*5,Malus floribunda,Japanese Flowering Crabapple,,g,King Nursery,,,,Thornhill Drive,north side,OO-32,71-03,
199-2017*2,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,Johnson's Nursery,,,,Malus,,F-67,43-98,
19-2007*6,Malus 'Orange',Orange Crabapple,,g,The Morton Arboretum,,,,Malus,east section,A-76,98-25,
57-83*3,Malus toringoides,Cut-leaved Crabapple,,z,The Morton Arboretum,China (PRC),,"China (PRC), Sichuan, near Tatsien-lu (Kangting)",Malus,east section,D-74,68-52,
49-93*1,Malus 'Purple Prince',Purple Prince Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,west section,I-69,44-87,
119-2018*3,Malus 'JFS KW213MX',Crabapple,RASPBERRY SPEAR,g,J. Frank Schmidt & Son Co.,,,,Malus,,H-70,72-06,
570-83*2,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,The Morton Arboretum,,,,Malus,west section,F-69,23-80,
259-2008*2,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,S-45,78-92,
46-94*2,Malus heterophylla,Apple,,w,Metropolitan Toronto Zoo,Canada,?,"Canada, Ontario, Essex",Malus,west section,I-70,23-25,
259-2008*4,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,S-46,81-03,
432-2013*1,Malus sargentii 'Select A',Sargent's Crabapple,FIREBIRD,g,Johnson's Nursery,,,,Hedge Garden,center section,I-45,07-39,
233-2013*3,Malus sargentii 'Select A',Sargent's Crabapple,FIREBIRD,g,Johnson's Nursery,,,,Hedge Garden,center section,I-45,72-48,
194-2017*1,Malus 'Louisa',Louisa Weeping Crabapple,,g,Johnson's Nursery,,,,Malus,,E-67,24-63,
260-2007*2,Malus 'Luwick',Luwick Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Arbor Court,,L-49,77-06,
52-83*8,Malus 'Professor Sprenger',Professor Sprenger Crabapple,,g,The Morton Arboretum,,,,Staff Parking,north side,M-42,58-88,
520-62*2,Malus 'Mary Potter',Mary Potter Crabapple,,g,"Simpson Orchard Co., Inc.",,,,Malus,east section,E-76,10-60,
866-2005*1,Malus kansuensis,Gansu Crabapple,,w,North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,China (PRC),,"China (PRC), Gansu, Ling Tan Shen, in Lianhua Shan National Nature Reserve / Sha He Tan",Malus,east section,A-75,28-23,
64-2006*1,Malus 'Branzam',Crabapple,BRANDYWINE,g,"Bailey Nurseries, Inc.",,,,Malus,east section,H-74,45-00,
668-80*2,Malus floribunda,Japanese Flowering Crabapple,,g,Matt Tures Sons Nursery,,,,Hedge Garden,center section,I-45,50-89,
98-84*1,Malus 'Ormiston Roy',Ormiston Roy Crabapple,,g,"Boyer Nurseries and Orchards, Inc.",,,,West Malus,,W-27,65-57,
192-2017*2,Malus 'Coralcole',Crabapple,CORALBURST,g,Johnson's Nursery,,,,Malus,,F-68,59-15,
24-2000*1,Malus 'Prairifire',Prairifire Crabapple,,g,Craig Bergmann's Country Garden Perennial Farm & Garden Center,,,,Administration Building,library,K-40,09-91,
240-88*3,Malus 'Columbia',Columbia Crabapple,,g,The Morton Arboretum,,,,Malus,east section,C-84,10-16,
101-85*1,Malus 'Silver Moon',Silver Moon Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Z-28,20-84,
814-2004*2,Malus 'Adams',Adams Crabapple,,g,"South Branch Nurseries, Inc.",,,,Visitor Center Parking,northeast median,R-48,75-94,
283-93*2,Malus yunnanensis,Yunnan Crabapple,,g,The Morton Arboretum,,,,Malus,east section,E-74,92-98,
62-2000*3,Malus sieboldii,Toringo Crabapple,,w,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",Japan,?,"Japan, Gunma, at Naganohara Town west of Tokyo, Agatsuma County",Malus,east section,F-78,12-17,
422-83*4,Malus baccata var. mandshurica,Manchurian Crabapple,,w,Botanical Garden of the Latvian State University,U.S.S.R.,?,"U.S.S.R., Russian, Primor'ye, Gamov peninsula, Hassanensis district",China,south section,Z-66,28-87,
39-84*2,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Z-27,00-59,
50-93*1,Malus 'Adirondack',Adirondack Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,west section,H-70,76-44,
77-2006*1,Malus 'Canary',Canary Crabapple,,g,Simpson Nursery Co.,,,,West Malus,,AA-30,40-02,
36-84*1,Malus 'Beverly',Beverly Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,X-29,68-30,
90-94*5,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AY-48,77-25,
91-2001*1,Malus toringoides,Cut-leaved Crabapple,,w,"U.S.D.A., A.R.S., Plant Genetic Resources Unit National Clonal germplasm Re",China (PRC),?,"China (PRC), Sichuan, Maerkang, near Songang village 10 km. west of Maerkang",China,south section,W-63,06-71,
281-93*1,Malus spectabilis,Chinese Flowering Crabapple,,g,The Morton Arboretum,,,,Malus,east section,D-74,99-84,
1291-2004*2,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,"Clavey's Nursery, Inc.",,,,Childrens Garden,Prairie,I-52,75-74,
1131-56*1,Malus 'Bob White',Bob White Crabapple,,g,The Morton Arboretum,,,,Malus,east section,AZ-74,25-90,
788-2004*2,Malus 'Tina',Tina Crabapple,,g,Poplar Farms Nursery & Produce Inc.,,,,Visitor Center,,M-48,09-14,
182-92*1,Malus coronaria,Wild Sweet Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Illinois, Will, near Merioneth Road in an area being subdivided for Lincolnshire housing development",Midwest,,M-68,50-18,
411-2004*3,Malus 'Adirondack',Adirondack Crabapple,,g,"Bailey Nurseries, Inc.",,,,Malus,west section,E-69,30-38,
233-2013*1,Malus sargentii 'Select A',Sargent's Crabapple,FIREBIRD,g,Johnson's Nursery,,,,Hedge Garden,center section,H-46,87-61,
362-88*3,Malus 'Louisa',Louisa Weeping Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,AA-29,05-79,
96-90*2,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-72,61-51,
259-2008*13,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,T-46,19-17,
91-94*4,Malus floribunda,Japanese Flowering Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AZ-48,08-22,
47-2011*2,Malus 'Liberty',Liberty Apple,,g,J.W.Jung Seed Company,,,,Childrens Garden,Windmill Garden,I-50,58-46,
531-82*1,Malus coronaria var. dasycalyx,Wild Sweet Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Bachtell, KR","United States of America, Illinois, Will, Thorn Creek Nature Preserve",Appalachia,north section,BB-74,47-60,
93-2001*1,Malus toringoides,Cut-leaved Crabapple,,w,"U.S.D.A., A.R.S., Plant Genetic Resources Unit National Clonal germplasm Re",China (PRC),?,"China (PRC), Sichuan, Maerkang, near Songang village 10 km. west of Maerkang",China,south section,V-63,94-52,
96-86*4,Malus sylvestris,French Crabapple,,w,State Nikita Botanical Gardens,U.S.S.R.,?,"U.S.S.R., Ukrainian, Crimean",Malus,east section,G-76,18-91,
165-84*1,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,"Lake County Nursery, Inc. (Lake County Nursery Exchange)",,,,West Malus,,Z-28,95-93,
365-88*1,Malus baccata,Siberian Crabapple,,g,Holden Arboretum,Republic of Korea,?,"Republic of Korea, North Jeolla, west side of Mohang, Cholla Pukto, Puan Gun, Sannae Myon, Tochong-re, Mohang",Malus,east section,C-76,15-55,
103-2003*3,Malus 'David',David Crabapple,,g,The Morton Arboretum,,,,West Malus,,Z-29,33-23,
531-82*11,Malus coronaria var. dasycalyx,Wild Sweet Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Bachtell, KR","United States of America, Illinois, Will, Thorn Creek Nature Preserve",Malus,west section,I-69,22-97,
1155-58*1,Malus 'Golden Gem',Golden Gem Crabapple,,g,The Morton Arboretum,,,,Bluebird Meadow,,II-16,59-78,
72-2000*3,Malus 'Amaszam',Crabapple,AMERICAN MASTERPIECE,g,"Bailey Nurseries, Inc.",,,,West Malus,,Y-30,27-38,
34-84*1,Malus 'Adams',Adams Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Y-31,25-51,
52-84*1,Malus 'Profusion',Profusion Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Z-29,20-55,
335-2000*3,Malus baccata var. mandshurica,Manchurian Crabapple,,w,The Morton Arboretum Research Program,Russia,,"Russia, Rossiya (Russia), Primor'ye",Malus,east section,F-78,63-09,
94-2006*1,Malus 'Amertrizam',Crabapple,AMERICAN TRIUMPH,g,"Lake County Nursery, Inc. (Lake County Nursery Exchange)",,,,West Malus,,AA-27,90-19,
415-2004*3,Malus 'Scbrazam',Crabapple,SCARLET BRANDYWINE,g,"Bailey Nurseries, Inc.",,,,Malus,west section,F-69,31-07,
194-84*4,Malus kansuensis,Gansu Crabapple,,g,The Morton Arboretum,,,,China,south section,Z-66,48-84,
165-76*1,Malus 'Ralph Shay',Ralph Shay Crabapple,,g,"Simpson Orchard Co., Inc.",,,,Malus,east section,D-77,55-35,
280-93*2,Malus sikkimensis,Sikkim Crabapple,,g,The Morton Arboretum,China (PRC),"Rock, JF","China (PRC), western section",Malus,east section,E-77,32-45,
53-84*3,Malus 'Red Jade',Red Jade Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Y-31,97-13,
433-81*16,Malus ioensis,Prairie Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, McHenry, along Leatherleaf Bog Trail in Moraine Hills State Park",Education Support Building,,LL-32,64-05,
203-84*1,Malus brevipes,Dwarf Nippon Crabapple,,g,The Morton Arboretum,,,,Malus,east section,C-76,87-04,
182-85*3,Malus 'Selkirk',Selkirk Crabapple,,g,"Bailey Nurseries, Inc.",,,,West Malus,,Z-26,55-97,
191-2017*3,Malus 'Adirondack',Adirondack Crabapple,,g,Johnson's Nursery,,,,Malus,,G-68,63-51,
1119-56*4,Malus 'Arrow',Arrow Crabapple,,g,The Morton Arboretum,,,,Tollway Berm,west berm,AY-53,10-00,
90-2001*1,Malus toringoides,Cut-leaved Crabapple,,w,"U.S.D.A., A.R.S., Plant Genetic Resources Unit National Clonal germplasm Re",China (PRC),?,"China (PRC), Sichuan, Maerkang, near Songang village 10 km. west of Maerkang",China,south section,W-63,24-65,
565-83*4,Malus pumila,Common Apple,,g,The Morton Arboretum,,,,Malus,east section,E-78,81-24,
90-94*4,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AY-48,72-37,
259-2008*12,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,T-46,17-29,
19-2007*1,Malus 'Orange',Orange Crabapple,,g,The Morton Arboretum,,,,West Malus,,Z-30,88-57,
46-84*3,Malus zumi 'Calocarpa',Redbud Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Y-31,64-32,
576-2005*1,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,"Clavey's Nursery, Inc.",,,,Childrens Garden,Curiosity Garden,J-49,61-47,
113-90*1,Malus 'Ralph Shay',Ralph Shay Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-71,02-62,
271-93*2,Malus dawsoniana,Dawson's Crabapple,,g,The Morton Arboretum,,,,Malus,east section,F-77,58-11,
259-2008*10,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,T-46,08-21,
91-94*2,Malus floribunda,Japanese Flowering Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AZ-48,01-45,
191-2017*1,Malus 'Adirondack',Adirondack Crabapple,,g,Johnson's Nursery,,,,Malus,,G-68,33-45,
284-97*11,Malus floribunda,Japanese Flowering Crabapple,,g,King Nursery,,,,Education Support Building,northeast triangle,NN-32,93-22,
107-2001*1,Malus sieboldii,Toringo Crabapple,,w,"U.S.D.A., A.R.S., Plant Genetic Resources Unit National Clonal germplasm Re",China (PRC),?,"China (PRC), Sichuan, near Mao Xian Ping town 6 km. ne of Maoxian",Malus,east section,F-78,25-36,
259-2008*11,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,T-46,13-06,
88-90*3,Malus 'Red Splendor',Red Splendor Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-72,33-36,
97-90*2,Malus 'Indian Magic',Indian Magic Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-72,43-58,
79-2000*1,Malus 'Lanzam',Crabapple,LANCELOT,g,"Bailey Nurseries, Inc.",,,,Malus,west section,H-69,61-86,
197-94*8,Malus floribunda,Japanese Flowering Crabapple,,g,Klehm Nursery,,,,Thornhill Drive,north side,PP-31,12-96,
259-2008*6,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,S-46,94-19,
79-90*2,Malus zumi 'Wooster',Wooster Zumi Crabapple,,g,Klehm Nursery,,,,Malus,west section,E-69,54-48,
65-2006*2,Malus 'Red Barron',Red Barron Crabapple,,g,"Bailey Nurseries, Inc.",,,,West Malus,,Z-27,40-51,
95-90*2,Malus floribunda,Japanese Flowering Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-73,71-43,
240-88*4,Malus 'Columbia',Columbia Crabapple,,g,The Morton Arboretum,,,,Malus,east section,C-84,49-15,
135-2004*1,Malus 'Henry Ross',Henry Ross Crabapple,,g,Klehm's Song Sparrow Farm and Nursery,,,,Malus,west section,I-69,29-50,
92-2006*1,Malus 'Amsalzam',Crabapple,AMERICAN SALUTE,g,"Lake County Nursery, Inc. (Lake County Nursery Exchange)",,,,West Malus,,AA-27,32-48,
332-93*4,Malus baccata,Siberian Crabapple,,w,North America-China Plant Exploration Consortium (NACPEC) 1993 Heilongjiang,China (PRC),,"China (PRC), Heilongjiang Sheng, at Ping Shan",Korea,,R-66,27-65,
114-86*3,Malus 'Prairifire',Prairifire Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Y-29,44-08,
284-97*7,Malus floribunda,Japanese Flowering Crabapple,,g,King Nursery,,,,Thornhill Drive,north side,OO-31,80-74,
46-84*1,Malus zumi 'Calocarpa',Redbud Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Y-31,47-42,
182-85*4,Malus 'Selkirk',Selkirk Crabapple,,g,"Bailey Nurseries, Inc.",,,,West Malus,,Z-26,66-79,
392-83*1,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,The Morton Arboretum,,,,West DuPage River,,K-27,04-91,
433-81*11,Malus ioensis,Prairie Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, McHenry, along Leatherleaf Bog Trail in Moraine Hills State Park",Malus,east section,D-80,24-16,
116-2011*1,Malus 'JFS-KW5',Crabapple,ROYAL RAINDROPS,g,"P.P. & O. Nursery, LLC",,,,Thornhill Building,south side,II-27,24-86,
197-2017*3,Malus 'Purple Prince',Purple Prince Crabapple,,g,Johnson's Nursery,,,,Malus,,G-67,61-85,
98-90*1,Malus 'Liset',Liset Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-73,08-14,
396-2004*4,Malus halliana,Hall's Crabapple,,z,The Morton Arboretum,China (PRC),?,"China (PRC), Sichuan, on Emei, Leshan, Qingchengshan, and Jinfoshan mountains and from Jiuzhaigou area",China,south section,W-63,53-98,
580-2001*1,Malus zumi,Zumi Crabapple,,g,The Morton Arboretum,,,,Malus,east section,B-74,01-32,
461-85*3,Malus 'Yellow Jewel',Yellow Jewel Crabapple,,g,The Morton Arboretum Research Program,,,,West Malus,,Y-26,05-97,
47-2011*1,Malus 'Liberty',Liberty Apple,,g,J.W.Jung Seed Company,,,,Childrens Garden,Windmill Garden,I-49,75-99,
788-2004*1,Malus 'Tina',Tina Crabapple,,g,Poplar Farms Nursery & Produce Inc.,,,,Visitor Center,,M-48,10-04,
231-76*3,Malus ioensis 'Klehmii',Klehm Prairie Crabapple,,g,The Morton Arboretum,,,,Malus,west section,I-70,76-15,
104-89*2,Malus 'Hyslop',Hyslop Crabapple,,g,Hilltop Orchards and Nurseries,,,,Malus,east section,C-83,23-47,
333-2004*2,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,The Morton Arboretum,,,,Malus,west section,C-70,91-91,
101-85*3,Malus 'Silver Moon',Silver Moon Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Z-28,35-93,
267-94*2,Malus fusca,Oregon Crabapple,,w,Forestfarm Arboretum and Nursery,United States of America,?,"United States of America, Oregon, Josephine",Malus,west section,H-70,55-19,
37-84*2,Malus 'Bob White',Bob White Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,X-27,04-20,
172-2017*1,Malus pumila 'Freedom',Freedom Common Apple,,g,McKay Nursery Co.,,,,Gateway to Tree Science,,D-104,53-50,
197-94*6,Malus floribunda,Japanese Flowering Crabapple,,g,Klehm Nursery,,,,Thornhill Drive,north side,OO-32,95-34,
97-90*1,Malus 'Indian Magic',Indian Magic Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-72,28-72,
42-97*2,Malus coronaria,Wild Sweet Crabapple,,w,The Holden Arboretum,United States of America,?,"United States of America, Ohio, Ashtabula, in the North Kingsville Sand Barrens",Malus,east section,G-76,10-37,
611-36*1,Malus sargentii,Sargent's Crabapple,,g,Cole Nursery Co.,,,,Hedge Garden,lower terrace,I-44,25-36,
99-90*2,Malus 'Molazam',Crabapple,MOLTEN LAVA,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-73,45-31,
183-92*2,Malus coronaria,Wild Sweet Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Illinois, Will, near Merioneth Road in an area being subdivided for Lincolnshire housing development",Malus,east section,D-77,99-99,
246-88*1,Malus prunifolia,Plum-leaved Crabapple,,g,The Morton Arboretum,,,,Malus,east section,D-77,50-67,
361-50*3,Malus baccata 'Jackii',Jack Siberian Crabapple,,g,,,,,West Malus,,X-30,90-60,
67-90*1,Malus 'Kirk',Kirk Crabapple,,g,Klehm Nursery,,,,Malus,west section,E-70,01-58,
284-97*3,Malus floribunda,Japanese Flowering Crabapple,,g,King Nursery,,,,Thornhill Drive,north side,OO-32,63-20,
35-84*3,Malus baccata 'Jackii',Jack Siberian Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,BB-30,24-00,
100-2004*1,Malus 'Cranberry Lace',Cranberry Lace Crabapple,,g,Klehm's Song Sparrow Farm and Nursery,,,,Malus,west section,I-70,55-78,
72-2000*1,Malus 'Amaszam',Crabapple,AMERICAN MASTERPIECE,g,"Bailey Nurseries, Inc.",,,,West Malus,,Y-30,08-49,
46-94*1,Malus heterophylla,Apple,,w,Metropolitan Toronto Zoo,Canada,?,"Canada, Ontario, Essex",Malus,west section,I-70,12-45,
94-2001*1,Malus toringoides,Cut-leaved Crabapple,,w,"U.S.D.A., A.R.S., Plant Genetic Resources Unit National Clonal germplasm Re",China (PRC),?,"China (PRC), Sichuan, Maerkang, near Songang village 10 km. west of Maerkang",Malus,east section,B-76,83-79,
107-86*1,Malus hupehensis,Tea Crabapple,,g,Moller's Nursery Inc.,,,,West Malus,,AA-29,93-97,
433-81*15,Malus ioensis,Prairie Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, McHenry, along Leatherleaf Bog Trail in Moraine Hills State Park",Malus,east section,D-80,49-18,
110-86*2,Malus 'Adams',Adams Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Y-31,18-69,
65-90*2,Malus 'Chrishozam',Crabapple,CHRISTMAS HOLLY,g,Klehm Nursery,,,,Malus,west section,E-69,25-93,
196-2017*1,Malus 'Profusion',Profusion Crabapple,,g,Johnson's Nursery,,,,Malus,,F-68,79-09,
196-2017*2,Malus 'Profusion',Profusion Crabapple,,g,Johnson's Nursery,,,,Malus,,F-68,88-30,
432-2013*2,Malus sargentii 'Select A',Sargent's Crabapple,FIREBIRD,g,Johnson's Nursery,,,,Hedge Garden,center section,I-46,49-70,
